"プロット タイトル: 21751639"
"#","日付 時間, GMT+03:00","Event, units (LGR S/N: 21751639, SEN S/N: 21751639)","カプラー取り外し (LGR S/N: 21751639)","カプラー取り付け (LGR S/N: 21751639)","ホスト接続 (LGR S/N: 21751639)","ファイルの終わり (LGR S/N: 21751639)"
139,24/04/16 13:49:25,27.4,,,,
140,24/04/16 17:50:11,27.6,,,,
141,24/04/16 17:51:19,27.8,,,,
142,24/04/16 17:51:51,28.0,,,,
143,24/04/16 17:53:22,28.2,,,,
144,24/04/16 17:53:59,28.4,,,,
145,24/04/16 17:54:48,28.6,,,,
146,24/04/16 17:55:11,28.8,,,,
147,24/04/16 17:55:58,29.0,,,,
148,24/04/16 17:56:26,29.2,,,,
149,24/04/16 17:57:01,29.4,,,,
150,24/04/16 17:57:19,29.6,,,,
151,24/04/16 17:58:01,29.8,,,,
152,24/04/16 17:58:21,30.0,,,,
153,24/04/16 17:58:52,30.2,,,,
154,24/04/16 17:59:04,30.4,,,,
155,24/04/16 17:59:25,30.6,,,,
156,24/04/16 17:59:32,30.8,,,,
157,24/04/16 17:59:55,31.0,,,,
158,24/04/16 18:00:17,31.2,,,,
159,24/04/16 18:01:32,31.4,,,,
160,24/04/16 18:02:45,31.6,,,,
161,24/04/16 18:08:59,31.8,,,,
162,24/04/16 18:12:20,32.0,,,,
163,24/04/16 18:22:04,32.2,,,,
164,24/04/16 18:33:12,32.4,,,,
165,24/04/16 18:39:37,32.6,,,,
166,24/04/16 18:44:02,32.8,,,,
167,24/04/16 18:48:59,33.0,,,,
168,24/04/16 18:52:19,33.2,,,,
169,24/04/16 18:59:52,33.4,,,,
170,24/04/16 19:52:17,33.6,,,,
171,24/04/17 16:36:27,33.8,,,,
172,24/04/17 16:38:27,34.0,,,,
173,24/04/17 16:46:40,34.2,,,,
174,24/04/17 16:49:45,34.4,,,,
175,24/04/18 12:52:17,34.6,,,,
176,24/04/18 13:02:21,34.8,,,,
177,24/04/18 13:03:21,35.0,,,,
178,24/04/18 13:03:28,35.2,,,,
179,24/04/18 13:03:43,35.4,,,,
180,24/04/18 13:03:54,35.6,,,,
181,24/04/18 13:04:11,35.8,,,,
182,24/04/18 13:04:19,36.0,,,,
183,24/04/18 13:04:29,36.2,,,,
184,24/04/18 13:04:35,36.4,,,,
185,24/04/18 13:04:44,36.6,,,,
186,24/04/18 13:04:48,36.8,,,,
187,24/04/18 13:04:56,37.0,,,,
188,24/04/18 13:05:01,37.2,,,,
189,24/04/18 13:05:09,37.4,,,,
190,24/04/18 13:05:15,37.6,,,,
191,24/04/18 13:05:26,37.8,,,,
192,24/04/18 13:05:32,38.0,,,,
193,24/04/18 13:05:40,38.2,,,,
194,24/04/18 13:05:43,38.4,,,,
195,24/04/18 13:05:50,38.6,,,,
196,24/04/18 13:05:54,38.8,,,,
197,24/04/18 13:06:00,39.0,,,,
198,24/04/18 13:06:04,39.2,,,,
199,24/04/18 13:06:24,39.4,,,,
200,24/04/18 13:06:32,39.6,,,,
201,24/04/18 13:06:48,39.8,,,,
202,24/04/18 13:07:03,40.0,,,,
203,24/04/18 13:07:17,40.2,,,,
204,24/04/18 13:07:23,40.4,,,,
205,24/04/18 13:07:32,40.6,,,,
206,24/04/18 13:07:41,40.8,,,,
207,24/04/18 13:07:51,41.0,,,,
208,24/04/18 13:07:58,41.2,,,,
209,24/04/18 13:08:09,41.4,,,,
210,24/04/18 13:08:15,41.6,,,,
211,24/04/18 13:08:23,41.8,,,,
212,24/04/18 13:08:29,42.0,,,,
213,24/04/18 13:08:42,42.2,,,,
214,24/04/18 13:08:52,42.4,,,,
215,24/04/18 13:09:07,42.6,,,,
216,24/04/18 13:09:12,42.8,,,,
217,24/04/18 13:09:23,43.0,,,,
218,24/04/18 13:09:27,43.2,,,,
219,24/04/18 13:09:38,43.4,,,,
220,24/04/18 13:09:43,43.6,,,,
221,24/04/18 13:09:56,43.8,,,,
222,24/04/18 13:10:04,44.0,,,,
223,24/04/18 13:10:24,44.2,,,,
224,24/04/18 13:10:37,44.4,,,,
225,24/04/18 13:11:12,44.6,,,,
226,24/04/18 13:11:37,44.8,,,,
227,24/04/18 13:12:23,45.0,,,,
228,24/04/18 13:12:51,45.2,,,,
229,24/04/18 13:13:42,45.4,,,,
